﻿ID;Тип;Артикул;Имя;Опубликован;Рекомендуемый?;Видимость в каталоге;Краткое описание;Описание;Дата начала действия скидки;Дата окончания действия скидки;Статус налога;Налоговый класс;Наличие;Запасы;Величина малых запасов;Возможен ли предзаказ?;Продано индивидуально?;Вес (кг);Длина (см);Ширина (см);Высота (см);Разрешить отзывы от клиентов?;Примечание к покупке;Акционная цена;Базовая цена;Категории;Метки;Класс доставки;Изображения;Лимит загрузок;Дней срока загрузки;Родительский;Сгруппированные товары;Апсэлы;Кросселы;Внешний URL;Текст кнопки;Позиция;Название атрибута 1;Значения атрибутов 1;Видимость атрибута 1;Глобальный атрибут 1;Название атрибута 2;Значения атрибутов 2;Видимость атрибута 2;Глобальный атрибут 2;Название атрибута 3;Значения атрибутов 3;Видимость атрибута 3;Глобальный атрибут 3;Название атрибута 4;Значения атрибутов 4;Видимость атрибута 4;Глобальный атрибут 4;Название атрибута 5;Значения атрибутов 5;Видимость атрибута 5;Глобальный атрибут 5;Название атрибута 6;Значения атрибутов 6;Видимость атрибута 6;Глобальный атрибут 6;Название атрибута 7;Значения атрибутов 7;Видимость атрибута 7;Глобальный атрибут 7;Название атрибута 8;Значения атрибутов 8;Видимость атрибута 8;Глобальный атрибут 8;Название атрибута 9;Значения атрибутов 9;Видимость атрибута 9;Глобальный атрибут 9;Название атрибута 10;Значения атрибутов 10;Видимость атрибута 10;Глобальный атрибут 10;Мета: _yoast_wpseo_primary_product_cat;Мета: _yoast_wpseo_estimated-reading-time-minutes;Мета: _yoast_wpseo_wordproof_timestamp
1044;variable;;Скоба К1157;1;0;visible;"Предназначена для крепления кабельных стоек приваркой к закладным деталям или пристрелкой.
\n
\n<strong>Исполнение изделий</strong>: все виды.
\n
\n<strong>Толщина металла (мм): </strong>2,0.";;;;taxable;;1;;;0;0;;;;;0;;;;Монтажные системы;;;https://web-coast.su/wordpress/wp-content/uploads/2024/01/tovar-1-1.webp, https://web-coast.su/wordpress/wp-content/uploads/2024/01/tovar-1-2.webp;;;;;;;;;0;Тип;K1157;0;1;Толщина металла (мм.);2.0;0;1;23;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1049;variable;;Основание одиночной полки К1158;1;0;visible;"Предназначено для установки 1 кабельной полки при прокладке одноуровневой кабельной трассы. Крепится к железобетонным конструкциям пристрелкой, к металлическим конструкциям и закладным деталям железобетонных конструкций - сваркой.
\n
\n<strong>Исполнение изделий</strong>: все виды.
\n
\n<strong>Толщина металла</strong><strong> (мм)</strong>: 2,5; 3,0.";;;;taxable;;1;;;0;0;;;;;0;;;;Короба для подвеса светильников, Короба кабельные блочные ККБ, Корпуса щитов этажных, Лотки монтажные прямые ЛМ, Лотки несущие прямые НЛ, Метрополитен, Метрополитен 2, Монтажные системы, Профили\, полосы, Шкафы пожарные, Щитовое оборудование;;;https://web-coast.su/wordpress/wp-content/uploads/2024/01/tovar-2-1.webp, https://web-coast.su/wordpress/wp-content/uploads/2024/01/tovar-2-2.webp;;;;;;;;;0;Тип;K1158, K1158A;0;1;Толщина металла (мм.);2.5, 3.0;0;1;23;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
